number,name,region,dong_id
414,라이또PC방 대구신서점,대구광역시 동구 신서동,2
415,고고PC,대구광역시 달성군 다사읍,8
416,앤유피씨범어점(nupc),대구광역시 수성구 범어동,6
417,디알피시방,대구광역시 중구 삼덕동,1
418,럭키PC,대구광역시 남구 대명동,4
419,팽PC,대구광역시 동구 효목동,2
420,엔유(NU)PC,대구광역시 달서구 송현동,3
421,앤유 피시방,대구광역시 중구 봉산동,1
422,생선가게 PC방,대구광역시 중구 공평동,1
423,대박PC방,대구광역시 달서구 호산동,3
424,버블PC,대구광역시 달성군 현풍면,8
425,레알PC방,대구광역시 북구 사수동,5
426,헬로PC,대구광역시 서구 평리동,3
427,티피씨,대구광역시 남구 봉덕동,4
428,팽피시카페,대구광역시 수성구 신매동,6
429,PC n BAP(PC엔밥),대구광역시 달서구 신당동,3
430,킹덤PC,대구광역시 동구 신서동,2
431,포인트PC,대구광역시 동구 신천동,2
432,황제PC,대구광역시 달서구 용산동,3
433,이노스페이스 검사점,대구광역시 동구 검사동,2
434,행복PC,대구광역시 달서구 이곡동,3
435,이노스페이스 비산점,대구광역시 서구 비산동,3
436,팝콘PC방,대구광역시 북구 침산동,5
437,더킹(the king),대구광역시 수성구 매호동,6
438,카카오피시(KAKAO PC),대구광역시 수성구 신매동,6
439,루호PC,대구광역시 수성구 지산동,6
440,와써PC,대구광역시 달서구 월성동,3
441,애플PC,대구광역시 수성구 수성동,6
442,매직PC,대구광역시 달성군 구지면,8
443,놀이터PC,대구광역시 남구 봉덕동,4
444,포그네PC방,대구광역시 동구 각산동,2
445,로또PC게임,대구광역시 남구 대명동,4
446,직방PC(복현점),대구광역시 북구 복현동,5
447,이센스PC,대구광역시 북구 동천동,5
448,팽피시카페 삼덕점,대구광역시 중구 삼덕동,1
449,MPC방,대구광역시 달성군 다사읍,8
450,행운PC방,대구광역시 북구 태전동,5
451,꿀단지 PC,대구광역시 수성구 범어동,6
452,에이스존,대구광역시 동구 신천동,2
453,상인앤유PC2매장,대구광역시 달서구 상인동,3
454,노다지길PC,대구광역시 동구 신천동,2
455,팽피시카페 이곡점,대구광역시 달서구 이곡동,3
456,앤유PC방 다사점,대구광역시 달성군 다사읍,8
457,옵티멈존엔볼륨업피씨방(시지광장점),대구광역시 수성구 신매동,6
458,썸PC방,대구광역시 달서구 송현동,3
459,루호PC방,대구광역시 달서구 상인동,3
460,아이센스pc방,대구광역시 달성군 다사읍,8
461,다락방PC(DARAK),대구광역시 달서구 이곡동,3
462,스팀PC방,대구광역시 북구 태전동,5
463,옥스(OX)PC대구본점,대구광역시 수성구 범어동,6
464,엔유(nu)PC,대구광역시 달서구 용산동,3
465,욜로PC방대구직영점,대구광역시 수성구 수성동,6
466,고스트,대구광역시 달서구 용산동,3
467,골드트리PC,대구광역시 달서구 본리동,3
468,팽피시카페(만촌점),대구광역시 수성구 만촌동,6
